央视,#genre#
CCTV-1,http://39.137.49.76:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.137.49.76:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV-1,http://39.137.49.76:8080/PLTV/88888888/224/3221225501/10000100000000060000000000000109_0.smil/index.m3u8
CCTV-2,http://39.137.49.76:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-3,http://39.137.49.76:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-4,http://39.137.49.76:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5,http://39.137.49.76:8080/PLTV/88888910/224/3221225648/index.m3u8
CCTV-5PLUS,http://39.137.49.76:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6,http://39.137.49.76:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-7,http://39.137.49.76:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8,http://39.137.49.76:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-9（英）,http://39.137.49.76:8080/PLTV/88888910/224/3221225645/index.m3u8
CCTV-9,http://39.137.49.76:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-10,http://39.137.49.76:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-11,http://39.137.49.76:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12,http://39.137.49.76:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13,http://39.137.49.76:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13,http://39.137.49.76:8080/PLTV/88888888/224/3221225566/10000100000000060000000000000042_0.smil/index.m3u8
CCTV-14,http://39.137.49.76:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-15,http://39.137.49.76:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-16,http://39.137.49.76:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV-17,http://39.137.49.76:8080/PLTV/88888910/224/3221225908/index.m3u8
CNC中文,http://39.137.49.76:8080/PLTV/88888910/224/3221225694/index.m3u8
央视高清,#genre#
CCTV-1,http://39.137.49.76:8080/PLTV/88888910/224/3221226225/index.m3u8
CCTV-1,http://39.137.49.76:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV-1高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-2高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225643/index.m3u8
